created,creator,id,is_archived,is_channel,is_general,is_member,is_org_shared,is_shared,name,name_normalized,num_members,previous_names,purpose.creator,purpose.last_set,purpose.value,topic.creator,topic.last_set,topic.value
1488344903,U4BR0JQLB,C4CJ3J1EK,True,True,False,False,False,False,1boston-crash-model,1boston-crash-model,0,['boston-crash-modeling'],,0,,,0,
1487185332,U44ASGR99,C4609PG10,False,True,False,True,False,False,accessibility,accessibility,13,[],U44ASGR99,1487340353,How to make sure our results can be accessed by everyone ? Don't let disabilty get in the way of democracy !,,0,
1485986997,U3FNRCTC3,C40CVBNNT,False,True,False,False,False,False,across-the-news,across-the-news,96,[],U3FNRCTC3,1485986997,Build a tool that helps readers quickly see all perspectives of a story,U4820S2FP,1488891167,Visualizing News Media Bias and its effects
1486915401,U39JB4RGR,C44E3F0CV,False,True,False,True,False,False,analyst-advocates,analyst-advocates,86,[],U39JB4RGR,1486915401,Making it easier for analysts to get started with D4D projects,,0,
1484228788,U3GCLA9BR,C3QKL8M98,False,True,False,True,False,False,assemble,assemble,244,[],U3GCLA9BR,1484228789,working to build tools and infrastructure to enable the study of online communities,U3GCLA9BR,1485785645,Welcome! checkout our community guide https://github.com/Data4Democracy/assemble/blob/master/community-guide.md
1491529725,U47DEH6QN,C4VTQ2G4U,False,True,False,False,False,False,atibroadcastapp,atibroadcastapp,32,[],U47DEH6QN,1491529725,For working on trusted partner broadcast app for the America the Indivisible Network in alignment with the Indivisible Project,,0,
1491066563,U4T21FC3D,C4T2L19J7,False,True,False,False,False,False,atx_political_ads,atx_political_ads,15,[],,0,,,0,
1491002973,U4STLH6V9,C4T0USKFU,False,True,False,True,False,False,bolsafamiliaexplore,bolsafamiliaexplore,17,[],U4STLH6V9,1491002974,Explore data from the Bolsa Familia social welfare program from the Brazilian Federal Goverment that distributes Billions of Dollars to low income families in Brazil (see: https://en.wikipedia.org/wiki/Bolsa_Fam%C3%ADlia).,,0,
1491002744,U44R03MBP,C4TLV9UBG,False,True,False,False,False,False,chicago-epa,chicago-epa,15,[],U44R03MBP,1491002758,Water Quality?,,0,
1486152382,U3YBT54FM,C40TWD84D,True,True,False,False,False,False,citizensvoice,citizensvoice,0,[],U3YBT54FM,1486152523,Project: Congressional constituents flood phone lines to convey their conerns / needs / wants while staffers manually tabulate. It’s 2017 and that is absolutely ridiculous. Let's solve that.,,0,
1482091742,U3F2BS82V,C3G7HFFSP,False,True,False,False,False,False,city-atlanta,city-atlanta,14,[],,0,,,0,
1482090608,U39JB4RGR,C3G7F689H,False,True,False,True,False,False,city-austin,city-austin,103,[],U39JB4RGR,1482090608,For people in or interested in Austin.,,0,
1490689246,U4Q74V3FE,C4PURJVBK,False,True,False,False,False,False,city-berlin,city-berlin,4,[],,0,,,0,
